,STATION,DAY,Entered,Exited,IMPRESSIONS
382,3 AV 138 ST,14,8318.0,5808.0,14126.0
383,3 AV 138 ST,15,8599.0,5948.0,14547.0
384,3 AV 138 ST,16,8652.0,5716.0,14368.0
385,3 AV-149 ST,10,12612.0,5294.0,17906.0
386,3 AV-149 ST,11,10136.0,5103.0,15239.0
387,3 AV-149 ST,12,21816.0,9179.0,30995.0
388,3 AV-149 ST,13,25504.0,10084.0,35588.0
389,3 AV-149 ST,14,25693.0,10757.0,36450.0
390,3 AV-149 ST,15,26279.0,11032.0,37311.0
391,3 AV-149 ST,16,26463.0,10821.0,37284.0
392,30 AV,10,8995.0,6125.0,15120.0
393,30 AV,11,8187.0,7087.0,15274.0
394,30 AV,12,14141.0,10597.0,24738.0
395,30 AV,13,15476.0,11535.0,27011.0
396,30 AV,14,15535.0,11195.0,26730.0
397,30 AV,15,15622.0,12687.0,28309.0
398,30 AV,16,15491.0,12529.0,28020.0
399,33 ST,10,11850.0,10281.0,22131.0
400,33 ST,11,11578.0,8857.0,20435.0
401,33 ST,12,30171.0,23322.0,53493.0
402,33 ST,13,33228.0,25291.0,58519.0
403,33 ST,14,34920.0,26051.0,60971.0
404,33 ST,15,34395.0,25359.0,59754.0
405,33 ST,16,32902.0,25048.0,57950.0
406,33 ST-RAWSON ST,10,3716.0,3263.0,6979.0
407,33 ST-RAWSON ST,11,2077.0,1831.0,3908.0
408,33 ST-RAWSON ST,12,12941.0,10535.0,23476.0
409,33 ST-RAWSON ST,13,16905.0,10820.0,27725.0
410,33 ST-RAWSON ST,14,17128.0,12084.0,29212.0
411,33 ST-RAWSON ST,15,17701.0,12279.0,29980.0
412,33 ST-RAWSON ST,16,14429.0,9722.0,24151.0
413,34 ST-HERALD SQ,10,54106.0,57572.0,111678.0
414,34 ST-HERALD SQ,11,57028.0,51886.0,108914.0
415,34 ST-HERALD SQ,12,114437.0,101092.0,215529.0
416,34 ST-HERALD SQ,13,124857.0,104269.0,229126.0
417,34 ST-HERALD SQ,14,127353.0,109664.0,237017.0
418,34 ST-HERALD SQ,15,126126.0,110338.0,236464.0
419,34 ST-HERALD SQ,16,129323.0,112223.0,241546.0
420,34 ST-HUDSON YD,10,4590.0,7113.0,11703.0
421,34 ST-HUDSON YD,11,4459.0,5924.0,10383.0
422,34 ST-HUDSON YD,12,8430.0,10055.0,18485.0
423,34 ST-HUDSON YD,13,8475.0,9667.0,18142.0
424,34 ST-HUDSON YD,14,8843.0,10265.0,19108.0
425,34 ST-HUDSON YD,15,8899.0,10691.0,19590.0
426,34 ST-HUDSON YD,16,9401.0,11314.0,20715.0
427,34 ST-PENN STA,10,70521.0,67997.0,138518.0
428,34 ST-PENN STA,11,74690.0,61112.0,135802.0
429,34 ST-PENN STA,12,168951.0,139838.0,308789.0
430,34 ST-PENN STA,13,179509.0,145260.0,324769.0
431,34 ST-PENN STA,14,183298.0,154421.0,337719.0
432,34 ST-PENN STA,15,180683.0,153868.0,334551.0
433,34 ST-PENN STA,16,173910.0,150047.0,323957.0
434,36 AV,10,4771.0,3256.0,8027.0
435,36 AV,11,4065.0,3345.0,7410.0
436,36 AV,12,6721.0,4877.0,11598.0
437,36 AV,13,7726.0,5531.0,13257.0
438,36 AV,14,7830.0,5368.0,13198.0
439,36 AV,15,7884.0,6143.0,14027.0
440,36 AV,16,7688.0,6102.0,13790.0
441,36 ST,10,8715.0,6958.0,15673.0
442,36 ST,11,7362.0,7143.0,14505.0
443,36 ST,12,16176.0,10000.0,26176.0
444,36 ST,13,18631.0,11191.0,29822.0
445,36 ST,14,19201.0,11306.0,30507.0
446,36 ST,15,19365.0,11639.0,31004.0
447,36 ST,16,19167.0,11729.0,30896.0
448,39 AV,10,1819.0,1043.0,2862.0
449,39 AV,11,1738.0,1187.0,2925.0
450,39 AV,12,3184.0,2191.0,5375.0
451,39 AV,13,3357.0,1893.0,5250.0
452,39 AV,14,3412.0,2168.0,5580.0
453,39 AV,15,3529.0,2210.0,5739.0
454,39 AV,16,3482.0,2218.0,5700.0
455,4 AV-9 ST,10,2089.0,2655.0,4744.0
456,4 AV-9 ST,11,2209.0,2900.0,5109.0
457,4 AV-9 ST,12,3541.0,4521.0,8062.0
458,4 AV-9 ST,13,3695.0,4836.0,8531.0
459,4 AV-9 ST,14,3718.0,5271.0,8989.0
460,4 AV-9 ST,15,3886.0,5050.0,8936.0
461,4 AV-9 ST,16,3826.0,5197.0,9023.0
462,40 ST LOWERY ST,10,5985.0,4734.0,10719.0
463,40 ST LOWERY ST,11,5506.0,5764.0,11270.0
464,40 ST LOWERY ST,12,10101.0,8348.0,18449.0
465,40 ST LOWERY ST,13,12272.0,9774.0,22046.0
466,40 ST LOWERY ST,14,12183.0,10269.0,22452.0
467,40 ST LOWERY ST,15,12213.0,10314.0,22527.0
468,40 ST LOWERY ST,16,12035.0,10354.0,22389.0
469,42 ST-BRYANT PK,10,14065.0,18527.0,32592.0
470,42 ST-BRYANT PK,11,15423.0,16221.0,31644.0
471,42 ST-BRYANT PK,12,40675.0,42042.0,82717.0
472,42 ST-BRYANT PK,13,46350.0,44823.0,91173.0
473,42 ST-BRYANT PK,14,47732.0,44514.0,92246.0
474,42 ST-BRYANT PK,15,47246.0,45630.0,92876.0
475,42 ST-BRYANT PK,16,46349.0,43488.0,89837.0
476,42 ST-PORT AUTH,10,50871.0,39604.0,90475.0
477,42 ST-PORT AUTH,11,55482.0,37782.0,93264.0
478,42 ST-PORT AUTH,12,99193.0,58744.0,157937.0
479,42 ST-PORT AUTH,13,102222.0,66002.0,168224.0
480,42 ST-PORT AUTH,14,104053.0,68454.0,172507.0
481,42 ST-PORT AUTH,15,104133.0,68175.0,172308.0
482,42 ST-PORT AUTH,16,103422.0,74171.0,177593.0
483,45 ST,10,4366.0,3122.0,7488.0
484,45 ST,11,3803.0,3267.0,7070.0
485,45 ST,12,6537.0,4308.0,10845.0
486,45 ST,13,7419.0,4892.0,12311.0
487,45 ST,14,7441.0,4821.0,12262.0
488,45 ST,15,7373.0,4884.0,12257.0
489,45 ST,16,7237.0,4659.0,11896.0
490,46 ST,10,4852.0,3838.0,8690.0
491,46 ST,11,4423.0,3992.0,8415.0
492,46 ST,12,8731.0,6772.0,15503.0
493,46 ST,13,10157.0,8258.0,18415.0
